https://botolago.com/news/ee00418c-2deb-4bd3-821a-f005fc87c833 200 | خاص/ مباريات السد قائمة هذا الموسم ولن تؤجل — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 30612
https://botolago.com/news/605780ce-4470-4aff-9994-99e15cbdb718 200 | رؤساء سابقون للرجاء يجتمعون بالأندلسي لمناقشة الجوانب… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 31124
https://botolago.com/news/a4a6fedf-7424-4921-974b-56cd9c602f10 200 | Actualités — BotolaGO | robots ['noindex'] | canon-self True | ld 0 | ['<html lang="fr" dir="ltr">'] | len 20151
https://botolago.com/news/69934fe6-5d14-40a0-b3fb-286794d7efce 200 | طبيب المنتخب يتدخل لتحديد البروتوكول العلاجي لبلعمري قبل… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 30384
https://botolago.com/news/2a193e5c-6f54-4ba8-824e-7df38f33d7f2 200 | السكتيوي: "جد سعيد بهذا الإنتصار لأننا فريق فتي وأتمنى… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 31840
https://botolago.com/news/74686b68-8851-4d70-a3b8-201739aa209d 200 | النابي بعد التعادل أمام اتحاد تواركة (1-1): "الرجاء يعاني… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 33645
https://botolago.com/news/01ee9c4e-5337-4f0f-bbed-f00bfde6816e 200 | Adam Nafati forfait pour le derby face au Wydad — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 33735
https://botolago.com/news/9687de4f-2888-4125-a24d-8ab2f2ebae0e 200 | الرجاء ينتصر وديا على ش.السالمي في لقاء شهد مشاركة الأسماء… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 31720
https://botolago.com/news/8e7e5405-3d51-4fb2-b61a-307879678176 200 | الإصابة تُغيب نوفل الزرهوني عن مباراة الرجاء أمام الفتح… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 31495
https://botolago.com/news/af4fd7bd-ff47-4108-bd3c-ad6f6a71e8e4 200 | منها الخياطي.. 3 غيابات في صفوف الجيش الملكي خلال مباراة… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 33241
https://botolago.com/news/ca94e969-4524-49eb-a3fe-6316c990b2d5 200 | الزرهوني وخفيفي والزنيتي أبرز غيابات الرجاء أمام شباب… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 31896
https://botolago.com/news/66c8a13c-feb6-413c-9893-c6a2b571943c 200 | البطولة الاحترافية/ شباب المحمدية يتغلب على م. الفاسي… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 33856
https://botolago.com/news/4ba68250-a780-4dc6-a0a4-e4fe44896cc2 200 | الحكام المغاربة يلتحقون بمعسكر "الفيفا" في أمريكا قبل… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 32257
https://botolago.com/news/3d54e0b7-c2fa-4935-84b0-169aaf7dd25d 200 | عموتة مطالب بتقليص لائحة المنتخب الرديف إلى 23 لاعبا في… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 30727
https://botolago.com/news/1395ab00-90ce-4918-8ec9-4e20d2786e42 200 | زكرياء الهبطي يرد على تصريحات زينباور: "هَانتا شْفتي الجيش… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 31311
https://botolago.com/news/04e59507-069b-4c3d-a662-31865355c5da 200 | "أولترا شارك" تعلن مقاطعتها لمباراة الحسنية وتؤكد: "لن تدق… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 32104
https://botolago.com/news/a84ae06e-d539-4297-bbdf-264e09ed6980 200 | رايحي يودع مكونات الوداد: "جئت لاعبا وأغادر مشجعا لهذا… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 33501
https://botolago.com/news/1b1695df-500a-4a06-bdda-174b9286e1e8 200 | La Ligue interdit le déplacement des supporters de l'AS… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 34165
https://botolago.com/news/568fa3f1-39bf-487d-b74f-100bbaae1654 200 | تجرى يومي 30 و31 غشت الجاري.. العصبة تكشف عن مواعيد الجولة… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 30380
https://botolago.com/news/0602c942-1cce-4b84-a18d-096e6f88c07f 200 | الشعباني: "ينتظرنا عمل كبير لتحسين مُستوانا ولِما لا نُتوج… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 30892
https://botolago.com/news/2632d41d-921c-4219-9b6d-a9eef0d8405a 200 | لاميرات: "بانون لاعب كبير وأحترمه كثيرا وأهدي هذا الفوز… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 32690
https://botolago.com/news/1dad2da9-50cc-4a9e-949e-b3d1deeadb6f 200 | أولمبيك آسفي يحسم صفقة جديدة ويُعزّز صفوفه بخدمات المدافع… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 30855
https://botolago.com/news/63a4fc96-bf0b-41ce-9901-471a8d6fe29b 200 | Actualités — BotolaGO | robots ['noindex'] | canon-self True | ld 0 | ['<html lang="fr" dir="ltr">'] | len 20151
https://botolago.com/news/8a60a073-e770-4033-a1ca-58953277b3d2 200 | Actualités — BotolaGO | robots ['noindex'] | canon-self True | ld 0 | ['<html lang="fr" dir="ltr">'] | len 20151
https://botolago.com/news/92845a3d-4110-4c33-ba9b-1e35fd1f0b70 200 | المنتخب المغربي لقصار القامة يعود لأجواء التباري بمباراتين… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 29416
https://botolago.com/news/8218ea47-bd9e-4a30-b830-8cf1e5b4c3fe 200 | Actualités — BotolaGO | robots ['noindex'] | canon-self True | ld 0 | ['<html lang="fr" dir="ltr">'] | len 20151
https://botolago.com/news/930a5d0e-56ce-4c7d-9563-01aee3b99565 200 | سيمبا التنزاني ينظم حملات في شوارع دار السلام لدعوة… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 32083
https://botolago.com/news/9d71845c-3e84-497e-b81f-f7dfdaa2c1a5 200 | Actualités — BotolaGO | robots ['noindex'] | canon-self True | ld 0 | ['<html lang="fr" dir="ltr">'] | len 20151
https://botolago.com/news/9fd35577-9c5b-4255-951e-c244fee92434 200 | الوداد يتوصل إلى اتفاق مع كارتيرون لقيادة الفريق خلفا… — BotolaGO | robots [] | canon-self True | ld 1 | ['<html lang="fr" dir="ltr">'] | len 31040
