fixtureId	kickoff	lineupRows	validPlayerRows	excludedIncompleteRows	starterRows	teamCount
19489216	2025-09-12T17:00:00.000Z	40	38	2	21	2
19574912	2025-09-21T17:00:00.000Z	40	37	3	20	2
19583358	2025-09-26T19:00:00.000Z	40	39	1	21	2
19583359	2025-09-27T15:00:00.000Z	40	38	2	20	2
19583360	2025-09-27T19:00:00.000Z	39	37	2	21	2
19587036	2025-10-01T15:00:00.000Z	40	38	2	21	2
19583368	2025-10-04T15:00:00.000Z	39	36	3	21	2
19583370	2025-10-05T15:00:00.000Z	40	38	2	21	2
19583371	2025-10-05T17:00:00.000Z	39	37	2	21	2
19590583	2025-10-18T15:00:00.000Z	40	37	3	20	2
19590584	2025-10-18T19:00:00.000Z	40	37	3	21	2
19590591	2025-10-25T17:00:00.000Z	40	37	3	21	2
19590592	2025-10-26T15:00:00.000Z	40	36	4	20	2
19590587	2025-10-29T17:00:00.000Z	40	39	1	21	2
19596471	2025-10-31T15:00:00.000Z	40	39	1	21	2
19596472	2025-10-31T15:00:00.000Z	41	38	3	21	2
19596473	2025-11-01T19:00:00.000Z	40	36	4	20	2
19596475	2025-11-02T15:00:00.000Z	40	27	13	14	2
19596476	2025-11-02T17:00:00.000Z	40	28	12	18	2
19596474	2025-11-02T19:00:00.000Z	40	28	12	15	2
19597053	2025-11-02T19:00:00.000Z	40	39	1	21	2
19597055	2025-11-08T15:00:00.000Z	40	38	2	20	2
19597056	2025-11-08T17:00:00.000Z	40	37	3	21	2
19597057	2025-11-08T19:00:00.000Z	40	38	2	21	2
19653281	2026-01-24T15:00:00.000Z	40	39	1	21	2
19653283	2026-01-24T19:00:00.000Z	40	38	2	21	2
19653289	2026-01-31T15:00:00.000Z	40	38	2	21	2
19653295	2026-02-01T17:00:00.000Z	40	37	3	21	2
19662881	2026-02-13T19:00:00.000Z	40	37	3	21	2
19662884	2026-02-15T16:00:00.000Z	40	39	1	21	2
19673816	2026-02-20T22:00:00.000Z	40	38	2	21	2
19673818	2026-02-21T22:00:00.000Z	40	39	1	21	2
19673819	2026-02-21T22:00:00.000Z	39	37	2	21	2
19673821	2026-02-22T22:00:00.000Z	39	37	2	21	2
19673823	2026-02-27T22:00:00.000Z	40	39	1	21	2
19673826	2026-02-28T22:00:00.000Z	40	38	2	21	2
19673829	2026-03-01T22:00:00.000Z	40	39	1	21	2
19653285	2026-03-04T22:00:00.000Z	40	38	2	20	2
19673834	2026-03-07T22:00:00.000Z	40	38	2	21	2
19673835	2026-03-07T22:00:00.000Z	41	39	2	20	2
19653294	2026-04-01T19:00:00.000Z	39	38	1	21	2
19653293	2026-04-02T19:00:00.000Z	40	38	2	21	2
19662872	2026-04-05T19:00:00.000Z	40	39	1	21	2
19662880	2026-04-22T17:00:00.000Z	41	39	2	20	2
19701753	2026-04-25T17:00:00.000Z	40	38	2	20	2
19701755	2026-04-26T19:00:00.000Z	40	39	1	21	2
19702732	2026-04-29T17:00:00.000Z	40	38	2	21	2
19705218	2026-05-04T20:00:00.000Z	40	39	1	21	2
19705224	2026-05-07T20:00:00.000Z	40	39	1	21	2
19705232	2026-05-11T16:00:00.000Z	40	39	1	21	2
19705234	2026-05-11T20:00:00.000Z	40	39	1	21	2
19709240	2026-05-24T15:00:00.000Z	40	39	1	21	2
19709241	2026-05-24T17:00:00.000Z	40	39	1	21	2
19712469	2026-06-08T20:00:00.000Z	40	39	1	21	2
19714267	2026-06-12T17:00:00.000Z	39	38	1	21	2
19714268	2026-06-12T17:00:00.000Z	40	39	1	21	2
19717215	2026-06-18T14:00:00.000Z	40	39	1	21	2
19726878	2026-06-28T17:00:00.000Z	40	39	1	21	2
19729300	2026-07-02T17:00:00.000Z	40	37	3	20	2
19729304	2026-07-02T17:00:00.000Z	39	37	2	21	2
19734479	2026-07-05T17:00:00.000Z	40	38	2	21	2
19734481	2026-07-05T17:00:00.000Z	39	38	1	21	2
19734483	2026-07-05T17:00:00.000Z	39	35	4	21	2
19734485	2026-07-05T17:00:00.000Z	40	38	2	21	2
